,name,url,Направление (тег),Специализация,Подвид,Тип устройства,"Технологии, инструменты",Уровень сложности,Класс,summary,other,trash
6475,Дизайнер,https://gb.ru/geek_university/design,Дизайн,"Дизайнер — это специалист в области разработки визуального оформления контента. Он предлагает заказчику несколько вариантов дизайна, которые максимально быстро и просто решают проблему клиента. Его работа обязательно включает в себя постановку цели, исследование целевой аудитории, создание объектов и продажу своего проекта. В дизайне много направлений и инструментов для создания различных проектов: от лендинга или логотипа до городской улицы или космического корабля., Выберу в процессе обучения",,,"Figma, Adobe Photoshop, Tilda, Adobe After Effects, Adobe Illustrator, Adobe InDesign, ArchiCAD, SketchUp, 3ds Max, AutoCAD",Junior,Взрослый,"Дизайнер с нуля до Junior
– Универсальный курс для тех, кто ищет свою профессию в дизайне
– Вы попробуете несколько дизайн-профессии на практике и выберите ту, которая будет вам по душе
– Соберете сильное портфолио, а мы поможем вам найти работу по итогу обучения","Основы дизайна
Компьютерные технологии в дизайне
Adobe Photoshop для дизайнеров
История дизайна
Введение в специализации
Специализация на выбор
9 месяцев

Графический дизайн
Adobe Illustrator для дизайнеров
Работа в Adobe InDesign
Концептинг и мышление
Основы типографики и композиции
Цвет в дизайне
Введение в Figma
Дизайнер на Tilda
Основы продукта. Целевая аудитория
Основы брендинга и визуальная айдентика
Работа с заказчиком
Многостраничная верстка
Портфолио дизайнера
Дипломный проект

Цифровой дизайн
Как работать в Figma
Композиция и типографика
Концептинг и мышление
Введение в цифровой дизайн
Основы верстки
Дизайнер на Tilda
Основы продукта. Целевая аудитория
Продуктовый подход в дизайне
Принципы анимации цифровых продуктов
Работа с заказчиком
Портфолио дизайнера
Дипломный проект

Дизайн интерьеров
Колористика
Основы 3Ds Max
Основы ArchiCAD
Проект 1. Эргономика и проектирование
Верстка портфолио в InDesign
Моделирование и визуализация в 3DS Max
Введение в материаловедение
Комплексное проектирование в ArchiCAD
Проект 2. Проектирование интерьера квартиры-студии
SketchUp
Инженерные решения и конструирование
Дипломный проект. Проектирование интерьера многокомнатной квартиры.

Предметный дизайн
Колористика
Основы 3Ds Max
Проект 1. Дизайн предмета интерьера
Проект 2. Дизайн кухонной техники
Комплексное изучение 3DS Max
Верстка портфолио в InDesign
Моделирование и визуализация в 3DS Max
3D-печать
Проект 3. Проектирование осветительных приборов
Проект 4. Проектирование мебели простой формы
Дипломный проект

Дополнительные курсы
На выбор

Основы мировой культуры и искусства",
6397,Digital-маркетолог Специалист,https://gb.ru/geek_university/marketing/digital/specialist,Маркетинг,"Digital-маркетолог -  это профессионал в области взаимодействия бизнеса и клиента, который продвигает товары, услуги, бренды с помощью цифровых технологий. Для этого он использует SEO-продвижение, контекстную рекламу, Email-маркетинг, SMM, технологии работы с брендом, аналитику и стратегию. Digital-маркетолог делает возможным привлечение аудитории из цифрового пространства., Выберу в процессе обучения",,,"SQL,HTML/CSS,Яндекс.Метрика,Яндекс.Директ,Vk,Telegram,Google Ads,Google Search Console,Google Analytics",Junior,Взрослый,"Маркетолог: быстрый старт в профессии
Станьте специалистом по продвижению товаров, услуг и брендов в интернете. Научитесь исследовать рынок, прорабатывать идею продукта, запускать рекламные кампании и анализировать их результаты. На практике освоите сервисы веб-аналитики, научитесь строить карту пути клиента, проводить UX-исследования и презентовать их результаты заказчику. Начать можно без опыта, а найти первую работу ― уже через 6 месяцев после начала обучения.","Анализ рынка
Разберетесь в основных терминах, научитесь формулировать гипотезы и проводить исследования, мониторить конкурентов и определять стратегию.
Проработка идеи проекта
Научитесь эффективно управлять проектом: искать и нанимать команду, составлять коммерческое предложение и контролировать сроки.
Разработка рекламной кампании и расчет бюджета
Узнаете, как грамотно составлять медиа планы, CJM рекламной кампании и коммуникационные карты для рекламных объявлений.
Сайт как самостоятельный инструмент продвижения
Поймете, каким бизнесам действительно необходимы сайты и как их собирать при помощи конструкторов.
Система показателей аналитики
Узнаете, как работать с Яндекс.Метрикой и системами аналитики в соцсетях, подбирать аудиторию и выгружать отчеты.
Продвижение компаний, продуктов и брендов
Погрузитесь в повседневные задачи интернет-маркетолога, бренд-менеджера и продуктового маркетолога. Узнаете, как создать, упаковать, развить и продвинуть продукт.
Профориентация
Разработаете собственный проект и попробуете себя в роли интернет-маркетолога, бренд-менеджера или продуктового маркетолога.
Специализация на выбор
Вы изучите курсы по выбранной специализации
Курсы
Интернет-маркетолог
Бренд-менеджер
Продуктовый маркетолог",
6401,Интернет-маркетолог,https://gb.ru/geek_university/marketing/internet-gb,Маркетинг,"Интернет-маркетолог - это специалист, который продвигает бизнес онлайн с помощью стека цифровых технологий. Инструменты интернет-маркетолога - SEO-продвижение, контекстная реклама, email-маркетинг, SMM. В процессе работы интернет-маркетолог анализирует статистику при помощи веб-сервисов и корректирует стратегию продвижения бизнеса., Интернет-маркетинг",-,-,"Яндекс.Метрика,Яндекс.Директ,Vk,Telegram,Google Ads,Google Search Console,Google Analytics",Junior,Взрослый,"Курс «Интернет-маркетолог»
Станьте специалистом по продвижению бизнеса онлайн. Вы изучите основы маркетинга: научитесь исследовать целевую аудиторию и рынок, разрабатывать, запускать и анализировать рекламные кампании. Сможете выбрать две профильные специализации, которые изучите более углубленно.","Анализ рынка
Разберетесь в основных терминах, научитесь формулировать гипотезы и проводить исследования, мониторить конкурентов и определять стратегию.
Проработка идеи проекта
Научитесь эффективно управлять проектом: искать и нанимать команду, составлять коммерческое предложение и контролировать сроки.
Разработка рекламной кампании и расчет бюджета
Узнаете, как грамотно составлять медиа планы, CJM рекламной кампании и коммуникационные карты для рекламных объявлений.
Сайт как самостоятельный инструмент продвижения
Поймете, каким бизнесам действительно необходимы сайты и как их собирать при помощи конструкторов.
Система показателей аналитики
Узнаете, как работать с Яндекс.Метрикой и системами аналитики в соцсетях, подбирать аудиторию и выгружать отчеты.
Продвижение компаний, продуктов и брендов
Погрузитесь в повседневные задачи интернет-маркетолога, бренд-менеджера и продуктового маркетолога. Узнаете, как создать, упаковать, развить и продвинуть продукт.
Профориентация
Разработаете собственный проект и попробуете себя в роли интернет-маркетолога, бренд-менеджера или продуктового маркетолога.
Специализация «Интернет-маркетолог»


Исследования рынка
Выбор приоритетного канала продвижения
Визуал и инструменты: Miro, Adobe, Figma, Tilda, Wordpress, Notion
Запуск и управление рекламной кампанией
UX-исследование и CJM
Маркетинговая аналитика
Основы проджект-менеджмента: управление проектами в удаленной команде
Презентация результатов работы заказчику
Подготовка к итоговой аттестации
Итоговая аттестация
Профориентация на выбор техспециализации
Две технологические специализации на выбор

SMM-менеджер
Таргетолог
Редактор
SEO-специалист
Менеджер маркетплейсов
Специалист по контекстной рекламе",
6416,Редактор,https://gb.ru/geek_university/marketing/copywriter,Маркетинг,"Редактор — это специалист, который создает текстовый материал. Инструменты редактора — контент-маркетинг, email-маркетинг, видеомаркетинг. В процессе работы редактор создает визуальную архитектуру контента в социальных сетях, оформляет ТЗ верстальщикам и дизайнерам или берет дело в свои руки., Интернет-маркетинг",,,"YouTube,Tilda,Яндекс.Метрика,Miro,Trello",Junior,Взрослый,"Редактор
Станьте специалистом по продвижению товаров и брендов с помощью текстов. Научитесь писать для любой аудитории и любых целей, а также решать задачи бизнеса.Вы освоите на практике подготовку текстов для рекламных кампаний, разработку лендингов на Tilda и составление контент-плана. Научитесь продвигать продукты с помощью текстов, которые невозможно не прочитать. Начать можно без опыта, а найти первую работу — уже через 9 месяцев после старта обучения.","Анализ рынка
Разберетесь в основных терминах, научитесь формулировать гипотезы и проводить исследования, мониторить конкурентов и определять стратегию.
Проработка идеи проекта
Научитесь эффективно управлять проектом: искать и нанимать команду, составлять коммерческое предложение и контролировать сроки.
Разработка рекламной кампании и расчет бюджета
Узнаете, как грамотно составлять медиа планы, CJM рекламной кампании и коммуникационные карты для рекламных объявлений.
Сайт как самостоятельный инструмент продвижения
Поймете, каким бизнесам действительно необходимы сайты и как их собирать при помощи конструкторов.
Система показателей аналитики
Узнаете, как работать с Яндекс.Метрикой и системами аналитики в соцсетях, подбирать аудиторию и выгружать отчеты.
Продвижение компаний, продуктов и брендов
Погрузитесь в повседневные задачи интернет-маркетолога, бренд-менеджера и продуктового маркетолога. Узнаете, как создать, упаковать, развить и продвинуть продукт.
Профориентация
Разработаете собственный проект и попробуете себя в роли интернет-маркетолога, бренд-менеджера или продуктового маркетолога.
Технологическая специализация
3 месяца

Курсы
Решение задач бизнеса с помощью текстов
Создание текстов
Редактура текста
Визуальная архитектура контента в социальных сетях
Разработка лендингов на Tilda
Email-маркетинг
Мессенджер-маркетинг
Видеомаркетинг
Подготовка к итоговой аттестации
Итоговая аттестация
Вторая технологическая специализация на выбор
3 месяца",
6424,SEO-специалист,https://gb.ru/geek_university/marketing/seo,Маркетинг,"SEO-специалист продвигает бизнес онлайн в поисковых системах. Он использует инструменты поискового продвижения, проводит внутреннюю и внешнюю оптимизацию сайта, оптимизирует и анализирует трафик, обеспечивает поток качественных лидов. SEO-специалист использует сервисы веб-аналитики и корректирует стратегию продвижения бизнеса онлайн., Интернет-маркетинг",,,"Яндекс.Метрика,Яндекс.Директ,Vk,Telegram,Google Ads,Google Search Console,Google Analytics",Junior,Взрослый,"Курс «SEO-специалист»
Вы изучите основы маркетинга: от иследования рынка и проработки идеи продукта до UX- исследований и презентации их результатов заказчику. После — погрузитесь в изучение SEO-продвижения, получите профильные навыки и начнете карьеру.","Анализ рынка
Разберетесь в основных терминах, научитесь формулировать гипотезы и проводить исследования, мониторить конкурентов и определять стратегию.

Проработка идеи проекта
Научитесь эффективно управлять проектом: искать и нанимать команду, составлять коммерческое предложение и контролировать сроки.

Разработка рекламной кампании и расчет бюджета
Узнаете, как грамотно составлять медиа планы, CJM рекламной кампании и коммуникационные карты для рекламных объявлений.

Сайт как самостоятельный инструмент продвижения
Поймете, каким бизнесам действительно необходимы сайты и как их собирать при помощи конструкторов.

Система показателей аналитики
Узнаете, как работать с Яндекс.Метрикой и системами аналитики в соцсетях, подбирать аудиторию и выгружать отчеты.

Продвижение компаний, продуктов и брендов
Погрузитесь в повседневные задачи интернет-маркетолога, бренд-менеджера и продуктового маркетолога. Узнаете, как создать, упаковать, развить и продвинуть продукт.

Профориентация
Разработаете собственный проект и попробуете себя в роли интернет-маркетолога, бренд-менеджера или продуктового маркетолога.

Специализация


Исследования рынка
Выбор приоритетного канала продвижения
Визуал и инструменты: Miro, Adobe, Figma, Tilda, Wordpress, Notion
Запуск и управление рекламной кампанией
UX-исследование и CJM
Маркетинговая аналитика
Основы проджект-менеджмента: управление проектами в удаленной команде
Презентация результатов работы заказчику
Подготовка к итоговой аттестации
Итоговая аттестация
Профориентация на выбор техспециализации
Технологическая специализация


Технический аудит и юзабилити сайта
Продвижение сайтов в поисковых системах - внутренняя и внешняя оптимизация и сборка СЯ
Методы привлечения поискового трафика
Основы коммуникации и KPI в SEO
Особенности продвижения разных типов сайтов
Анализ эффективности продвижения и санкции поисковых систем
Email-маркетинг
Мессенджер-маркетинг
Видеомаркетинг
Подготовка к итоговой аттестации
Итоговая аттестация
Вторая технологическая специализация на выбор
",
6406,Продуктовый маркетолог,https://gb.ru/geek_university/marketing/product,Маркетинг,"Продакт-маркетолог — профессионал в области формулирования цифровых продуктов и вывода их на рынок средствами бизнеса и маркетинга. Профессия объединяет функционал менеджера продукта и маркетолога для получения результата — жизнеспособный и востребованный продукт на рынке. Специалисты используют управленческие инструменты: формулирование гипотез, налаживание взаимодействия и между разработчиками продукта и бизнесом. Строят маркетинговую стратегию вывода на рынок, занимаются аналитикой, адаптацией и развитием бизнеса под запросы рынка., Продуктовый маркетинг",-,-,"SQL,HTML/CSS,Яндекс.Метрика,Яндекс.Директ,Vk,Telegram,Google Ads,Google Search Console,Google Analytics",Junior,Взрослый,"Продуктовый маркетолог с нуля до Junior
Станьте специалистом по созданию цифрового продукта и управлению его продвижением на рынок. Научитесь формулировать гипотезы, создавать MVP, адаптировать фичи, искать product-market fit. На практике сможете освоить управление продвижением продукта на рынок, аналитикой, построение карты пути клиента и презентацию результатов работы заказчику. Начать можно без опыта, а найти первую работу — уже через 9 месяцев после начала обучения.","Анализ рынка
Разберетесь в основных терминах, научитесь формулировать гипотезы и проводить исследования, мониторить конкурентов и определять стратегию.

Проработка идеи проекта
Научитесь эффективно управлять проектом: искать и нанимать команду, составлять коммерческое предложение и контролировать сроки.

Разработка рекламной кампании и расчет бюджета
Узнаете, как грамотно составлять медиа планы, CJM рекламной кампании и коммуникационные карты для рекламных объявлений.

Сайт как самостоятельный инструмент продвижения
Поймете, каким бизнесам действительно необходимы сайты и как их собирать при помощи конструкторов.

Система показателей аналитики
Узнаете, как работать с Яндекс.Метрикой и системами аналитики в соцсетях, подбирать аудиторию и выгружать отчеты.

Продвижение компаний, продуктов и брендов
Погрузитесь в повседневные задачи интернет-маркетолога, бренд-менеджера и продуктового маркетолога. Узнаете, как создать, упаковать, развить и продвинуть продукт.

Профориентация
Разработаете собственный проект и попробуете себя в роли интернет-маркетолога, бренд-менеджера или продуктового маркетолога.

Специализация Продакт-маркетолог
Вы изучите курсы по выбранной специализации

Курсы
Жизненный цикл продукта
Продуктовые исследования (CustDev, JTBT, RICE)
Формулирование продукта (MVP, фичер adoption)
Визуал и инструменты: Miro, Adobe, Figma, Tilda, Wordpress, Notion
Вывод продукта на рынок
Развитие зрелого продукта
UX-исследование и CJM
Продуктовая аналитика
Экономика продукта (юнит-экономика, бизнес-показатели)
Основы проджект-менеджмента: управление проектами в удаленной команде
Презентация результатов работы заказчику
Подготовка к итоговой аттестации
Итоговая аттестация
Профориентация на выбор техспециализации
Две технологические специализации на выбор


Курсы
Маркетолог-аналитик
Специалист по контекстной рекламе
Таргетолог
SMM-менеджер
Редактор
SEO-специалист
Специалист по связям с общественностью
Менеджер по работе с маркетплейсами",
6420,SMM-менеджер,https://gb.ru/geek_university/marketing/smm-management,Маркетинг,"SMM-менеджер — это специалист, который продвигает проекты и бренды в соцсетях. Он создает тексты, подбирает изображения и видео для постов, формирует контент-план и может разработать SMM-стратегию с нуля. В процессе работы SMM-менеджер анализирует эффективность создаваемого контента и обратную связь., Интернет-маркетинг",,,"Vk,Telegram,TargetHunter,Яндекс.Метрика",Junior,Взрослый,"SMM-менеджер с нуля до Junior
Станьте специалистом по продвижению бренда в соцсетях. Научитесь разрабатывать стратегию с нуля, использовать инфоповоды и генерировать идеи для вирусного контента. На практике освойте визуальную архитектуру контента, подготовку текстов для социальных сетей и составление контент-плана. Научитесь находить клиентов, работать с заказчиком и успешно закрывать сделки. Начать можно без опыта, а найти первую работу — уже после 9 месяцев обучения.","Анализ рынка
Разберетесь в основных терминах, научитесь формулировать гипотезы и проводить исследования, мониторить конкурентов и определять стратегию.

Проработка идеи проекта
Научитесь эффективно управлять проектом: искать и нанимать команду, составлять коммерческое предложение и контролировать сроки.

Разработка рекламной кампании и расчет бюджета
Узнаете, как грамотно составлять медиа планы, CJM рекламной кампании и коммуникационные карты для рекламных объявлений.

Сайт как самостоятельный инструмент продвижения
Поймете, каким бизнесам действительно необходимы сайты и как их собирать при помощи конструкторов.

Система показателей аналитики
Узнаете, как работать с Яндекс.Метрикой и системами аналитики в соцсетях, подбирать аудиторию и выгружать отчеты.

Продвижение компаний, продуктов и брендов
Погрузитесь в повседневные задачи интернет-маркетолога, бренд-менеджера и продуктового маркетолога. Узнаете, как создать, упаковать, развить и продвинуть продукт.

Профориентация
Разработаете собственный проект и попробуете себя в роли интернет-маркетолога, бренд-менеджера или продуктового маркетолога.

Специализация
Вы изучите курсы по выбранной специализации


Курсы
Исследования рынка
Выбор приоритетного канала продвижения
Визуал и инструменты: Miro, Adobe, Figma, Tilda, Wordpress, Notion
Запуск и управление рекламной кампанией
UX-исследование и CJM
Маркетинговая аналитика
Основы проджект-менеджмента: управление проектами в удаленной команде
Презентация результатов работы заказчику
Подготовка к итоговой аттестации
Итоговая аттестация
Профориентация на выбор техспециализации
Технологическая специализация


Курсы
Соцсети и их возможности
Разработка SMM-стратегии
Создание контент-плана
Визуальная архитектура контента в социальных сетях
Создание текстов в социальных сетях
SMM-аналитика
Email-маркетинг
Мессенджер-маркетинг
Видеомаркетинг
Подготовка к итоговой аттестации
Итоговая аттестация
Вторая технологическая специализация на выбор",
6466,Perfomance менеджер,https://gb.ru/geek_university/marketing/performance-manager,Маркетинг,"Performance-менеджер — это специалист, который продвигает бизнес на рынок по платным каналам. Инструменты performance-менеджера — это контекстная реклама, платный поиск и программатик-системы. В процессе работы он создает стратегию продвижения в платных поисковых каналах, анализирует данные рекламных кампаний и оптимизирует их бюджеты., Продуктовый маркетинг",,,"Tilda,WordPress,Notion,Figma,Miro,Медиалогия,СКАН-Интерфакс,Brand Analytics",Junior,Взрослый,,,ссылка ведет на распродажу
6428,Таргетолог,https://gb.ru/geek_university/marketing/targeting,Маркетинг,"Таргетолог — это один из ключевых специалистов в команде маркетинга. Он приводит на сайт компании пользователей, заинтересованных в покупке. Инструменты таргетолога — рекламный кабинет VК, TikTok, «Дзен», Яндекс.Метрика. В процессе работы он изучает и сегментирует целевую аудиторию, запускает рекламные кампании и анализирует их эффективность., Интернет-маркетинг",,,"TargetHunter,Яндекс.Метрика,Telegram,Vk,TokTikTok",Junior,Взрослый,"Таргетолог с нуля до Junior
Станьте специалистом по настройке рекламы в социальных сетях. Научитесь приводить пользователей, заинтересованных в покупке и анализировать качество трафика. На практике освойте настройку рекламы в VK, Telegram и «Дзене». Научитесь управлять бюджетами и таргетингом на основе данных, а также самостоятельно вести проекты. Начать можно без опыта, а найти первую работу — уже через 9 месяцев обучения.","Анализ рынка
Разберетесь в основных терминах, научитесь формулировать гипотезы и проводить исследования, мониторить конкурентов и определять стратегию.
Проработка идеи проекта
Научитесь эффективно управлять проектом: искать и нанимать команду, составлять коммерческое предложение и контролировать сроки.
Разработка рекламной кампании и расчет бюджета
Узнаете, как грамотно составлять медиа планы, CJM рекламной кампании и коммуникационные карты для рекламных объявлений.
Сайт как самостоятельный инструмент продвижения
Поймете, каким бизнесам действительно необходимы сайты и как их собирать при помощи конструкторов.
Система показателей аналитики
Узнаете, как работать с Яндекс.Метрикой и системами аналитики в соцсетях, подбирать аудиторию и выгружать отчеты.
Продвижение компаний, продуктов и брендов
Погрузитесь в повседневные задачи интернет-маркетолога, бренд-менеджера и продуктового маркетолога. Узнаете, как создать, упаковать, развить и продвинуть продукт.
Профориентация
Разработаете собственный проект и попробуете себя в роли интернет-маркетолога, бренд-менеджера или продуктового маркетолога.

Специализация
Вы изучите курсы по выбранной специализации



Курсы
Исследования рынка
Выбор приоритетного канала продвижения
Визуал и инструменты: Miro, Adobe, Figma, Tilda, Wordpress, Notion
Запуск и управление рекламной кампанией
UX-исследование и CJM
Маркетинговая аналитика
Основы проджект-менеджмента: управление проектами в удаленной команде
Презентация результатов работы заказчику
Подготовка к итоговой аттестации
Итоговая аттестация
Профориентация на выбор техспециализации
Технологическая специализация
Таргетинг, ретаргетинг, пиксели
Работа с креативами
Реклама VK
Реклама Telegram, Дзен
Веб-аналитика
Управление таргетингом на основе данных
Email-маркетинг
Мессенджер-маркетинг
Видеомаркетинг
Подготовка к итоговой аттестации
Итоговая аттестация
Вторая технологическая специализация на выбор



",
6432,Специалист по работе с маркетплейсами,https://gb.ru/geek_university/marketing/e-commerce,Маркетинг,"Менеджер по работе с маркетплейсами — это специалист, который продвигает товары на маркетплейсах при помощи встроенных инструментов и маркетинговых технологий. Его инструменты — личный кабинет маркетплейса, визуальные редакторы и сервисы подбора ключевых слов. В процессе работы он составляет перечень товаров и ассортиментную матрицу, выбирает наиболее выгодный товар, рассчитывает оптимальную цену и продумывает скидочную политику., Интернет-маркетинг",,,"OZON,Wildberries,Яндекс.Маркет,MarketGuru",Junior,Взрослый,"Менеджер маркетплейсов с нуля до Junior
Станьте специалистом в области продвижения товаров на маркетплейсах. Научитесь формировать товарную и ассортиментную матрицы, выводить бизнес на российские и зарубежные маркетплейсы, работать с юнит-экономикой товара, продвигать свое предложение на маркетплейсах и анализировать статистику. Начать обучение можно без опыта, а найти первую работу — уже спустя 9 месяцев со старта курса.","Анализ рынка
Разберетесь в основных терминах, научитесь формулировать гипотезы и проводить исследования, мониторить конкурентов и определять стратегию.

Проработка идеи проекта
Научитесь эффективно управлять проектом: искать и нанимать команду, составлять коммерческое предложение и контролировать сроки.

Разработка рекламной кампании и расчет бюджета
Узнаете, как грамотно составлять медиа планы, CJM рекламной кампании и коммуникационные карты для рекламных объявлений.

Сайт как самостоятельный инструмент продвижения
Поймете, каким бизнесам действительно необходимы сайты и как их собирать при помощи конструкторов.
Система показателей аналитики
Узнаете, как работать с Яндекс.Метрикой и системами аналитики в соцсетях, подбирать аудиторию и выгружать отчеты.

Продвижение компаний, продуктов и брендов
Погрузитесь в повседневные задачи интернет-маркетолога, бренд-менеджера и продуктового маркетолога. Узнаете, как создать, упаковать, развить и продвинуть продукт.

Профориентация
Разработаете собственный проект и попробуете себя в роли интернет-маркетолога, бренд-менеджера или продуктового маркетолога.

Специализация
Вы изучите курсы по выбранной специализации


Курсы
Исследования рынка
Выбор приоритетного канала продвижения
Визуал и инструменты: Miro, Adobe, Figma, Tilda, Wordpress, Notion
Запуск и управление рекламной кампанией
UX-исследование и CJM
Маркетинговая аналитика
Основы проджект-менеджмента: управление проектами в удаленной команде
Презентация результатов работы заказчику
Подготовка к итоговой аттестации
Итоговая аттестация
Профориентация на выбор техспециализации
Технологическая специализация

Курсы
Вывод бизнеса на Российские маркетплейсы
Вывод бизнеса на зарубежные маркетплейсы
Управление и аналитика продаж на маркетплейсах
Работа с контентом и визуалом
Управление логистикой
Составление отчетности 
Email-маркетинг
Мессенджер-маркетинг
Видеомаркетинг
Подготовка к итоговой аттестации
Итоговая аттестация
Вывод бизнеса и продвижение на Ozon
Вторая технологическая специализация на выбор
",
